HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5824.79,705175200.0,,,288.36035,297.93335,0.0
5824.79,705196800.0,,,289.56348,298.2146,0.0
5825.29,705218400.0,,,289.65723,298.74585,0.0
5826.29,705240000.0,,,292.4541,299.0896,0.0
5825.29,705261600.0,,,290.79785,298.6521,0.0
5830.29,705283200.0,,,290.50098,291.37085,0.0
5822.29,705304800.0,,,291.81348,290.99585,0.0
5825.29,705326400.0,,,290.90723,294.2146,0.0
5825.29,705348000.0,,,291.12598,293.74585,0.0
5830.79,705369600.0,,,290.68848,294.0271,0.0
5832.29,705391200.0,,,288.25098,295.37085,0.0234375
5831.79,705412800.0,,,288.00098,296.4021,0.140625
5832.79,705434400.0,,,287.17285,295.24585,0.0
5836.29,705456000.0,,,287.25098,297.1521,0.078125
5837.29,705477600.0,,,287.12598,298.37085,0.046875
5839.79,705499200.0,,,287.46973,298.2146,0.0
5840.29,705520800.0,,,287.8291,297.80835,0.0
5839.79,705542400.0,,,287.7041,297.7771,0.0
5840.29,705564000.0,,,288.2666,297.74585,0.0
5841.79,705585600.0,,,288.84473,297.62085,0.0
5841.79,705607200.0,,,288.90723,297.4021,0.0
5841.79,705628800.0,,,289.56348,297.24585,0.0
5840.79,705650400.0,,,290.50098,297.2771,0.0
5842.79,705672000.0,,,290.8916,297.12085,0.0
5842.29,705693600.0,,,291.86035,297.30835,0.0
5841.79,705715200.0,,,292.7666,290.74585,0.0
5841.79,705736800.0,,,291.8291,292.18335,0.0
5840.79,705758400.0,,,291.61035,289.9021,0.046875
5843.79,705780000.0,,,291.04785,291.8396,0.0
5815.79,705801600.0,,,282.9541,297.18335,0.0
5815.29,705823200.0,,,283.11035,297.6521,0.0
5814.29,705844800.0,,,283.37598,297.8396,0.0
5814.29,705866400.0,,,283.75098,297.9646,0.0
5814.29,705888000.0,,,289.04785,297.30835,0.0
5814.29,705909600.0,,,289.29785,298.05835,0.0
5813.29,705931200.0,,,289.54785,298.3396,0.0
5817.29,705952800.0,,,290.25098,298.4021,0.0
5817.79,705974400.0,,,289.7041,285.9021,0.0
5810.29,705996000.0,,,292.00098,288.7771,0.0
5816.29,706017600.0,,,290.7666,294.93335,0.0
5820.79,706039200.0,,,289.6416,292.7771,0.25
5819.29,706060800.0,,,288.93848,294.18335,0.0
5818.79,706082400.0,,,288.36035,293.55835,0.078125
5820.79,706104000.0,,,287.7666,294.8396,0.09375
5823.79,706125600.0,,,288.00098,295.5896,0.0
5826.79,706147200.0,,,286.81348,290.5271,0.0234375
5830.29,706168800.0,,,286.1416,295.12085,0.03125
5831.79,706190400.0,,,286.03223,297.80835,0.0
5832.29,706212000.0,,,286.37598,297.6521,0.0
5832.29,706233600.0,,,287.1416,297.4021,0.0
5832.79,706255200.0,,,287.48535,297.43335,0.0
5832.79,706276800.0,,,287.25098,297.37085,0.0
5832.79,706298400.0,,,287.7666,296.99585,0.0
5833.79,706320000.0,,,288.78223,297.12085,0.0
5835.29,706341600.0,,,289.75098,297.1521,0.0
5836.29,706363200.0,,,290.28223,297.37085,0.0
5836.79,706384800.0,,,289.5791,297.6521,0.0
5834.79,706406400.0,,,289.5166,289.37085,0.0
5834.79,706428000.0,,,289.67285,292.12085,0.0
5835.79,706449600.0,,,289.9541,291.1521,0.0
5835.79,706471200.0,,,291.8291,289.24585,0.0
5807.29,706492800.0,,,282.84473,297.0896,0.0
5805.29,706514400.0,,,283.00098,297.68335,0.0
5804.79,706536000.0,,,283.0166,297.55835,0.0
5803.79,706557600.0,,,285.50098,297.3396,0.0
5803.29,706579200.0,,,286.68848,297.93335,0.0
5803.79,706600800.0,,,286.67285,298.30835,0.0
5803.79,706622400.0,,,287.2041,298.37085,0.0
5801.79,706644000.0,,,287.42285,298.93335,0.0
5799.79,706665600.0,,,290.25098,282.37085,0.0
5803.79,706687200.0,,,288.62598,290.0271,0.0
5800.79,706708800.0,,,289.84473,293.49585,0.0
5808.79,706730400.0,,,288.8916,293.7771,0.0625
5807.79,706752000.0,,,289.3916,293.2146,0.0
