time,latitude,longitude,UGRD_10m
1071856800.0,,,-0.2104563
1071878400.0,,,-0.13233168
1071900000.0,,,1.4614156
1071921600.0,,,-0.6792058
1071943200.0,,,0.43016717
1071964800.0,,,2.445794
1071986400.0,,,-0.91357964
1072008000.0,,,-0.3042059
1072029600.0,,,0.58641875
1072051200.0,,,0.49266934
1072072800.0,,,2.4770463
1072094400.0,,,4.3676677
1072116000.0,,,-1.8510816
1072137600.0,,,3.1645403
1072159200.0,,,3.6645403
1072180800.0,,,4.2114162
1072202400.0,,,1.8364161
1072224000.0,,,-0.35108617
1072245600.0,,,-1.288587
1072267200.0,,,-2.0542078
1072288800.0,,,-1.7104552
1072310400.0,,,-0.52295494
1072332000.0,,,-0.74170655
1072353600.0,,,1.4770428
1072375200.0,,,1.930168
1072396800.0,,,1.3364202
1072418400.0,,,5.2114124
1072440000.0,,,-4.0698338
1072461600.0,,,-4.569831
1072483200.0,,,-5.460456
1072504800.0,,,-4.022957
1072526400.0,,,-0.6323332
1072548000.0,,,-1.3198309
1072569600.0,,,0.27391648
1072591200.0,,,-0.72608125
1072612800.0,,,3.039541
1072634400.0,,,-0.1948317
1072656000.0,,,-0.022956118
1072677600.0,,,2.3832932
1072699200.0,,,0.6645429
1072720800.0,,,2.3051682
1072742400.0,,,0.32079232
1072764000.0,,,1.0082936
1072785600.0,,,-0.16358171
1072807200.0,,,0.2114187
1072828800.0,,,2.3520405
1072850400.0,,,-0.22609009
1072872000.0,,,-0.9917042
1072893600.0,,,-1.429209
1072915200.0,,,-2.2573333
1072936800.0,,,-2.4604568
1072958400.0,,,-1.3198332
1072980000.0,,,-0.21045712
1073001600.0,,,-0.80420274
1073023200.0,,,-0.50733197
1073044800.0,,,2.3989174
1073066400.0,,,1.0239229
1073088000.0,,,-3.7104566
1073109600.0,,,-4.179207
1073131200.0,,,-5.4448314
1073152800.0,,,-4.8042073
1073174400.0,,,-4.460457
1073196000.0,,,-4.2104564
1073217600.0,,,-4.538582
1073239200.0,,,-3.3667064
1073260800.0,,,-4.0073314
1073282400.0,,,-1.5385826
1073304000.0,,,-0.36670578
1073325600.0,,,1.117669
1073347200.0,,,1.6332922
1073368800.0,,,0.64892036
1073390400.0,,,1.3520424
1073412000.0,,,-1.6479573
1073433600.0,,,-1.9292066
1073455200.0,,,0.883293
1073476800.0,,,0.22704308
1073498400.0,,,0.35204294
1073520000.0,,,0.37121856
1073541600.0,,,0.7618397
1073563200.0,,,-1.1287795
1073584800.0,,,-1.6287783
1073606400.0,,,-0.61315334
1073628000.0,,,-0.16002823
1073649600.0,,,0.6055963
1073671200.0,,,0.8868464
1073692800.0,,,-1.8631549
1073714400.0,,,-4.644405
1073736000.0,,,-5.6444054
1073757600.0,,,-5.753781
1073779200.0,,,-4.378779
1073800800.0,,,-3.5194018
1073822400.0,,,-6.9725304
1073844000.0,,,-6.8475275
1073865600.0,,,-6.7225285
1073887200.0,,,-6.1287785
1073908800.0,,,-6.3787785
1073930400.0,,,-7.253779
1073952000.0,,,-7.22253
1073973600.0,,,-8.003782
1073995200.0,,,-8.238154
1074016800.0,,,-7.5819044
1074038400.0,,,-6.78503
1074060000.0,,,-6.1912794
1074081600.0,,,-6.581907
1074103200.0,,,-7.0975347
1074124800.0,,,-1.7694012
1074146400.0,,,-1.5037696
1074168000.0,,,0.40247044
1074189600.0,,,-1.3944074
1074211200.0,,,-0.48815528
1074232800.0,,,-0.8944071
1074254400.0,,,-2.0506566
1074276000.0,,,-2.1287782
1074297600.0,,,-1.4725273
1074319200.0,,,-0.7069023
1074340800.0,,,0.6680988
1074362400.0,,,0.8712205
1074384000.0,,,-2.0662794
1074405600.0,,,-5.456904
1074427200.0,,,-7.941281
1074448800.0,,,-7.3162804
1074470400.0,,,-5.0662775
1074492000.0,,,-4.206904
1074513600.0,,,-0.17565939
1074535200.0,,,-5.691268
1074556800.0,,,-6.8319044
1074578400.0,,,-6.7850285
1074600000.0,,,-7.113154
1074621600.0,,,-7.7694054
1074643200.0,,,-8.785028
1074664800.0,,,-9.003778
1074686400.0,,,-8.581904
1074708000.0,,,-8.003778
1074729600.0,,,-7.6287785
1074751200.0,,,-7.0975285
1074772800.0,,,-7.691279
1074794400.0,,,-8.3787775
1074816000.0,,,-8.8944
1074837600.0,,,-6.003777
1074859200.0,,,-3.6912796
1074880800.0,,,-4.0662804
1074902400.0,,,-0.9256547
1074924000.0,,,-3.0506554
1074945600.0,,,-2.9725306
1074967200.0,,,-2.5350277
1074988800.0,,,-2.2850285
1075010400.0,,,-0.6912769
1075032000.0,,,0.011842567
1075053600.0,,,-1.4412802
1075075200.0,,,-3.191279
1075096800.0,,,-0.7850247
1075118400.0,,,-2.5818985
1075140000.0,,,-10.6444025
1075161600.0,,,-4.9569006
1075183200.0,,,-4.769403
1075204800.0,,,-2.0506535
1075226400.0,,,-0.12877527
1075248000.0,,,-7.128779
1075269600.0,,,-7.8162785
1075291200.0,,,-7.831905
1075312800.0,,,-8.503779
1075334400.0,,,-8.863153
1075356000.0,,,-9.128779
1075377600.0,,,-8.566278
1075399200.0,,,-8.0819025
1075420800.0,,,-7.7069035
1075442400.0,,,-7.4881535
1075464000.0,,,-7.5975275
1075485600.0,,,-6.8162775
1075507200.0,,,-5.988153
1075528800.0,,,-4.8944035
1075550400.0,,,-4.3944073
1075572000.0,,,-4.003785
1075593600.0,,,-3.6912823
1075615200.0,,,-4.003779
1075636800.0,,,-3.3006551
1075658400.0,,,-2.7069018
1075680000.0,,,-1.6131516
